"Cтатус","Количество"
"Deferred","https://peps.python.org//pep-0403","PEP 403 – General purpose decorator clause (aka “@in” clause)"
"Final","https://peps.python.org//pep-0404","PEP 404 – Python 2.8 Un-release Schedule"
"Final","https://peps.python.org//pep-0405","PEP 405 – Python Virtual Environments"
"Withdrawn","https://peps.python.org//pep-0406","PEP 406 – Improved Encapsulation of Import State"
"Deferred","https://peps.python.org//pep-0407","PEP 407 – New release cycle and introducing long-term support versions"
"Rejected","https://peps.python.org//pep-0408","PEP 408 – Standard library __preview__ package"
"Final","https://peps.python.org//pep-0409","PEP 409 – Suppressing exception context"
"Rejected","https://peps.python.org//pep-0410","PEP 410 – Use decimal.Decimal type for timestamps"
"Active","https://peps.python.org//pep-0411","PEP 411 – Provisional packages in the Python standard library"
"Final","https://peps.python.org//pep-0412","PEP 412 – Key-Sharing Dictionary"
"Withdrawn","https://peps.python.org//pep-0413","PEP 413 – Faster evolution of the Python Standard Library"
"Final","https://peps.python.org//pep-0414","PEP 414 – Explicit Unicode Literal for Python 3.3"
"Final","https://peps.python.org//pep-0415","PEP 415 – Implement context suppression with exception attributes"
"Rejected","https://peps.python.org//pep-0416","PEP 416 – Add a frozendict builtin type"
"Final","https://peps.python.org//pep-0417","PEP 417 – Including mock in the Standard Library"
"Final","https://peps.python.org//pep-0418","PEP 418 – Add monotonic time, performance counter, and process time functions"
"Deferred","https://peps.python.org//pep-0419","PEP 419 – Protecting cleanup statements from interruptions"
"Final","https://peps.python.org//pep-0420","PEP 420 – Implicit Namespace Packages"
"Final","https://peps.python.org//pep-0421","PEP 421 – Adding sys.implementation"
"Withdrawn","https://peps.python.org//pep-0422","PEP 422 – Simpler customisation of class creation"
"Deferred","https://peps.python.org//pep-0423","PEP 423 – Naming conventions and recipes related to packaging"
"Final","https://peps.python.org//pep-0424","PEP 424 – A method for exposing a length hint"
"Final","https://peps.python.org//pep-0425","PEP 425 – Compatibility Tags for Built Distributions"
"Withdrawn","https://peps.python.org//pep-0426","PEP 426 – Metadata for Python Software Packages 2.0"
"Final","https://peps.python.org//pep-0427","PEP 427 – The Wheel Binary Package Format 1.0"
"Final","https://peps.python.org//pep-0428","PEP 428 – The pathlib module – object-oriented filesystem paths"
"Final","https://peps.python.org//pep-0429","PEP 429 – Python 3.4 Release Schedule"
"Final","https://peps.python.org//pep-0430","PEP 430 – Migrating to Python 3 as the default online documentation"
"Superseded","https://peps.python.org//pep-0431","PEP 431 – Time zone support improvements"
"Withdrawn","https://peps.python.org//pep-0432","PEP 432 – Restructuring the CPython startup sequence"
"Superseded","https://peps.python.org//pep-0433","PEP 433 – Easier suppression of file descriptor inheritance"
"Active","https://peps.python.org//pep-0434","PEP 434 – IDLE Enhancement Exception for All Branches"
"Final","https://peps.python.org//pep-0435","PEP 435 – Adding an Enum type to the Python standard library"
"Final","https://peps.python.org//pep-0436","PEP 436 – The Argument Clinic DSL"
"Rejected","https://peps.python.org//pep-0437","PEP 437 – A DSL for specifying signatures, annotations and argument converters"
"Superseded","https://peps.python.org//pep-0438","PEP 438 – Transitioning to release-file hosting on PyPI"
"Rejected","https://peps.python.org//pep-0439","PEP 439 – Inclusion of implicit pip bootstrap in Python installation"
"Final","https://peps.python.org//pep-0440","PEP 440 – Version Identification and Dependency Specification"
"Final","https://peps.python.org//pep-0441","PEP 441 – Improving Python ZIP Application Support"
"Final","https://peps.python.org//pep-0442","PEP 442 – Safe object finalization"
"Final","https://peps.python.org//pep-0443","PEP 443 – Single-dispatch generic functions"
"Deferred","https://peps.python.org//pep-0444","PEP 444 – Python Web3 Interface"
"Final","https://peps.python.org//pep-0445","PEP 445 – Add new APIs to customize Python memory allocators"
"Final","https://peps.python.org//pep-0446","PEP 446 – Make newly created file descriptors non-inheritable"
"Deferred","https://peps.python.org//pep-0447","PEP 447 – Add __getdescriptor__ method to metaclass"
"Final","https://peps.python.org//pep-0448","PEP 448 – Additional Unpacking Generalizations"
"Final","https://peps.python.org//pep-0449","PEP 449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme"
"Final","https://peps.python.org//pep-0450","PEP 450 – Adding A Statistics Module To The Standard Library"
"Final","https://peps.python.org//pep-0451","PEP 451 – A ModuleSpec Type for the Import System"
"Final","https://peps.python.org//pep-0452","PEP 452 – API for Cryptographic Hash Functions v2.0"
"Final","https://peps.python.org//pep-0453","PEP 453 – Explicit bootstrapping of pip in Python installations"
"Final","https://peps.python.org//pep-0454","PEP 454 – Add a new tracemalloc module to trace Python memory allocations"
"Rejected","https://peps.python.org//pep-0455","PEP 455 – Adding a key-transforming dictionary to collections"
"Final","https://peps.python.org//pep-0456","PEP 456 – Secure and interchangeable hash algorithm"
"Final","https://peps.python.org//pep-0457","PEP 457 – Notation For Positional-Only Parameters"
"Accepted","https://peps.python.org//pep-0458","PEP 458 – Secure PyPI downloads with signed repository metadata"
"Withdrawn","https://peps.python.org//pep-0459","PEP 459 – Standard Metadata Extensions for Python Software Packages"
"Withdrawn","https://peps.python.org//pep-0460","PEP 460 – Add binary interpolation and formatting"
"Final","https://peps.python.org//pep-0461","PEP 461 – Adding % formatting to bytes and bytearray"
"Withdrawn","https://peps.python.org//pep-0462","PEP 462 – Core development workflow automation for CPython"
"Rejected","https://peps.python.org//pep-0463","PEP 463 – Exception-catching expressions"
"Final","https://peps.python.org//pep-0464","PEP 464 – Removal of the PyPI Mirror Authenticity API"
"Final","https://peps.python.org//pep-0465","PEP 465 – A dedicated infix operator for matrix multiplication"
"Final","https://peps.python.org//pep-0466","PEP 466 – Network Security Enhancements for Python 2.7.x"
"Draft","https://peps.python.org//pep-0467","PEP 467 – Minor API improvements for binary sequences"
"Final","https://peps.python.org//pep-0468","PEP 468 – Preserving the order of **kwargs in a function."
"Withdrawn","https://peps.python.org//pep-0469","PEP 469 – Migration of dict iteration code to Python 3"
"Final","https://peps.python.org//pep-0470","PEP 470 – Removing External Hosting Support on PyPI"
"Final","https://peps.python.org//pep-0471","PEP 471 – os.scandir() function – a better and faster directory iterator"
"Rejected","https://peps.python.org//pep-0472","PEP 472 – Support for indexing with keyword arguments"
"Rejected","https://peps.python.org//pep-0473","PEP 473 – Adding structured data to built-in exceptions"
"Withdrawn","https://peps.python.org//pep-0474","PEP 474 – Creating forge.python.org"
"Final","https://peps.python.org//pep-0475","PEP 475 – Retry system calls failing with EINTR"
"Final","https://peps.python.org//pep-0476","PEP 476 – Enabling certificate verification by default for stdlib http clients"
"Final","https://peps.python.org//pep-0477","PEP 477 – Backport ensurepip (PEP 453) to Python 2.7"
"Active","https://peps.python.org//pep-0478","PEP 478 – Python 3.5 Release Schedule"
"Final","https://peps.python.org//pep-0479","PEP 479 – Change StopIteration handling inside generators"
"Draft","https://peps.python.org//pep-0480","PEP 480 – Surviving a Compromise of PyPI: End-to-end signing of packages"
"Withdrawn","https://peps.python.org//pep-0481","PEP 481 – Migrate CPython to Git, Github, and Phabricator"
"Final","https://peps.python.org//pep-0482","PEP 482 – Literature Overview for Type Hints"
"Final","https://peps.python.org//pep-0483","PEP 483 – The Theory of Type Hints"
"Final","https://peps.python.org//pep-0484","PEP 484 – Type Hints"
"Final","https://peps.python.org//pep-0485","PEP 485 – A Function for testing approximate equality"
"Final","https://peps.python.org//pep-0486","PEP 486 – Make the Python Launcher aware of virtual environments"
"Final","https://peps.python.org//pep-0487","PEP 487 – Simpler customisation of class creation"
"Final","https://peps.python.org//pep-0488","PEP 488 – Elimination of PYO files"
"Final","https://peps.python.org//pep-0489","PEP 489 – Multi-phase extension module initialization"
"Rejected","https://peps.python.org//pep-0490","PEP 490 – Chain exceptions at C level"
"Deferred","https://peps.python.org//pep-0491","PEP 491 – The Wheel Binary Package Format 1.9"
"Final","https://peps.python.org//pep-0492","PEP 492 – Coroutines with async and await syntax"
"Final","https://peps.python.org//pep-0493","PEP 493 – HTTPS verification migration tools for Python 2.7"
"Final","https://peps.python.org//pep-0494","PEP 494 – Python 3.6 Release Schedule"
"Final","https://peps.python.org//pep-0495","PEP 495 – Local Time Disambiguation"
"Rejected","https://peps.python.org//pep-0496","PEP 496 – Environment Markers"
"Rejected","https://peps.python.org//pep-0497","PEP 497 – A standard mechanism for backward compatibility"
"Final","https://peps.python.org//pep-0498","PEP 498 – Literal String Interpolation"
"Deferred","https://peps.python.org//pep-0499","PEP 499 – python -m foo should bind sys.modules['foo'] in addition to sys.modules['__main__']"
"Rejected","https://peps.python.org//pep-0500","PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations"
"Deferred","https://peps.python.org//pep-0501","PEP 501 – General purpose string interpolation"
"Rejected","https://peps.python.org//pep-0502","PEP 502 – String Interpolation - Extended Discussion"
"Final","https://peps.python.org//pep-0503","PEP 503 – Simple Repository API"
"Withdrawn","https://peps.python.org//pep-0504","PEP 504 – Using the System RNG by default"
"Deferred","https://peps.python.org//pep-0505","PEP 505 – None-aware operators"
"Final","https://peps.python.org//pep-0506","PEP 506 – Adding A Secrets Module To The Standard Library"
"Rejected","https://peps.python.org//pep-0507","PEP 507 – Migrate CPython to Git and GitLab"
"Final","https://peps.python.org//pep-0508","PEP 508 – Dependency specification for Python Software Packages"
"Final","https://peps.python.org//pep-0509","PEP 509 – Add a private version to dict"
"Rejected","https://peps.python.org//pep-0510","PEP 510 – Specialize functions with guards"
"Rejected","https://peps.python.org//pep-0511","PEP 511 – API for code transformers"
"Final","https://peps.python.org//pep-0512","PEP 512 – Migrating from hg.python.org to GitHub"
"Superseded","https://peps.python.org//pep-0513","PEP 513 – A Platform Tag for Portable Linux Built Distributions"
"Active","https://peps.python.org//pep-0514","PEP 514 – Python registration in the Windows registry"
"Final","https://peps.python.org//pep-0515","PEP 515 – Underscores in Numeric Literals"
